_date,total_clones,unique_clones
2022-07-30,2,2
2022-07-31,1,1
2022-08-01,1,1
2022-08-02,2,2
2022-08-03,2,2
2022-08-04,2,2
2022-08-05,1,1
2022-08-06,2,2
2022-08-07,2,2
2022-08-08,1,1
2022-08-09,1,1
2022-08-10,1,1
2022-08-11,2,2
2022-08-12,2,2
2022-08-13,1,1
2022-08-14,2,2
2022-08-15,2,2
2022-08-16,2,2
2022-08-17,1,1
2022-08-18,1,1
2022-08-19,2,2
2022-08-20,2,2
2022-08-21,2,2
2022-08-22,2,2
2022-08-23,1,1
2022-08-24,1,1
2022-08-25,1,1
2022-08-26,1,1
2022-08-27,1,1
2022-08-28,1,1
2022-08-29,1,1
2022-08-30,1,1
